OblastC,region,OblastLat,BrojStanovnika,Godina
Београдска област,Beogradski,Beogradska oblast,1681134,2020
Западнобачка област,Zapadnobački,Zapadnobačka oblast,167279,2020
Јужнобанатска област,Južnobanatski,Južnobanatska oblast,272975,2020
Јужнобачка област,Južnobački,Južnobačka oblast,614460,2020
Севернобанатска област,Severnobanatski,Severnobanatska oblast,132740,2020
Севернобачка област,Severnobački,Severnobačka oblast,175424,2020
Средњобанатска област,Srednjobanatski,Srednjobanatska oblast,170551,2020
Сремска област,Sremski,Sremska oblast,292796,2020
Златиборска област,Zlatiborski,Zlatiborska oblast,259215,2020
Колубарска област,Kolubarski,Kolubarska oblast,159266,2020
Мачванска област,Mačvanski,Mačvanska oblast,271059,2020
Моравичка област,Moravički,Moravička oblast,194978,2020
Поморавска област,Pomoravski,Pomoravska oblast,190944,2020
Расинска област,Rasinski,Rasinska oblast,216195,2020
Рашка област,Raški,Raška oblast,299696,2020
Шумадијска област,Šumadijski,Šumadijska oblast,276190,2020
Борска област,Borski,Borska oblast,106339,2020
Браничевска област,Braničevski,Braničevska oblast,158834,2020
Зајечарска област,Zaječarski,Zaječarska oblast,102725,2020
Јабланичка област,Jablanički,Jablanička oblast,193830,2020
Нишавска област,Nišavski,Nišavska oblast,354436,2020
Пиротска област,Pirotski,Pirotska oblast,81513,2020
Подунавска област,Podunavski,Podunavska oblast,179891,2020
Пчињска област,Pčinjski,Pčinjska oblast,191397,2020
Топличка област,Toplički,Toplička oblast,81068,2020
Београдска област,Beogradski,Beogradska oblast,1636835,2035
Западнобачка област,Zapadnobački,Zapadnobačka oblast,135385,2035
Јужнобанатска област,Južnobanatski,Južnobanatska oblast,239511,2035
Јужнобачка област,Južnobački,Južnobačka oblast,590240,2035
Севернобанатска област,Severnobanatski,Severnobanatska oblast,110783,2035
Севернобачка област,Severnobački,Severnobačka oblast,156687,2035
Средњобанатска област,Srednjobanatski,Srednjobanatska oblast,142059,2035
Сремска област,Sremski,Sremska oblast,258546,2035
Златиборска област,Zlatiborski,Zlatiborska oblast,209971,2035
Колубарска област,Kolubarski,Kolubarska oblast,135861,2035
Мачванска област,Mačvanski,Mačvanska oblast,224192,2035
Моравичка област,Moravički,Moravička oblast,166123,2035
Поморавска област,Pomoravski,Pomoravska oblast,156248,2035
Расинска област,Rasinski,Rasinska oblast,174620,2035
Рашка област,Raški,Raška oblast,276000,2035
Шумадијска област,Šumadijski,Šumadijska oblast,240328,2035
Борска област,Borski,Borska oblast,75854,2035
Браничевска област,Braničevski,Braničevska oblast,122306,2035
Зајечарска област,Zaječarski,Zaječarska oblast,77107,2035
Јабланичка област,Jablanički,Jablanička oblast,156741,2035
Нишавска област,Nišavski,Nišavska oblast,315723,2035
Пиротска област,Pirotski,Pirotska oblast,62681,2035
Подунавска област,Podunavski,Podunavska oblast,143919,2035
Пчињска област,Pčinjski,Pčinjska oblast,165781,2035
Топличка област,Toplički,Toplička oblast,64657,2035
Београдска област,Beogradski,Beogradska oblast,1617022,2050
Западнобачка област,Zapadnobački,Zapadnobačka oblast,108065,2050
Јужнобанатска област,Južnobanatski,Južnobanatska oblast,211965,2050
Јужнобачка област,Južnobački,Južnobačka oblast,571238,2050
Севернобанатска област,Severnobanatski,Severnobanatska oblast,92485,2050
