Oblast,OblastLat,Weights
Beogradski,Beogradska oblast,-3.8
Zapadno-bački,Zapadnobačka oblast,-35.4
Južno-banatski,Južnobanatska oblast,-22.4
Južno-bački,Južnobačka oblast,-7.0
Severno-banatski,Severnobanatska oblast,-30.3
Severno-bački,Severnobačka oblast,-19.4
Srednje-banatski,Srednjobanatska oblast,-31.3
Sremski,Sremska oblast,-21.6
Zlatiborski,Zlatiborska oblast,-37.4
Kolubarski,Kolubarska oblast,-28.2
Mačvanski,Mačvanska oblast,-33.3
Moravički,Moravička oblast,-28.0
Pomoravski,Pomoravska oblast,-31.0
Rasinski,Rasinska oblast,-36.6
Raški,Raška oblast,-15.5
Šumadijski,Šumadijska oblast,-22.3
Borski,Borska oblast,-51.3
Braničevski,Braničevska oblast,-40.8
Zaječarski,Zaječarska oblast,-42.3
Jablanički,Jablanička oblast,-36.5
Nišavski,Nišavska oblast,-18.0
Pirotski,Pirotska oblast,-41.1
Podunavski,Podunavska oblast,-37.7
Pčinjski,Pčinjska oblast,-28.8
Toplički,Toplička oblast,-37.1
